,support,itemsets
0,0.2,frozenset({'days'})
1,0.4,frozenset({'display'})
2,0.225,frozenset({'rate'})
3,0.25,frozenset({'quality'})
4,0.2,frozenset({'front'})
5,0.15,frozenset({'speakers'})
6,0.55,frozenset({'camera'})
7,0.25,frozenset({'features'})
8,0.125,frozenset({'night'})
9,0.15,frozenset({'mode'})
10,0.3,frozenset({'charger'})
11,0.15,frozenset({'wireless'})
12,0.65,frozenset({'phone'})
13,0.275,frozenset({'glass'})
14,0.125,frozenset({'snapdragon'})
15,0.225,frozenset({'processor'})
16,0.25,frozenset({'support'})
17,0.225,frozenset({'bands'})
18,0.225,frozenset({'software'})
19,0.2,frozenset({'updates'})
20,0.175,frozenset({'water'})
21,0.55,frozenset({'battery'})
22,0.125,frozenset({'mah'})
23,0.175,frozenset({'range'})
24,0.325,frozenset({'phones'})
25,0.475,frozenset({'samsung'})
26,0.4,frozenset({'price'})
27,0.325,frozenset({'product'})
28,0.225,frozenset({'day'})
29,0.675,frozenset({'i'})
30,0.275,frozenset({'issue'})
31,0.225,frozenset({'usage'})
32,0.2,frozenset({'hours'})
33,0.125,frozenset({'box'})
34,0.2,frozenset({'reader'})
35,0.175,frozenset({'issues'})
36,0.175,frozenset({'money'})
37,0.15,frozenset({'years'})
38,0.225,frozenset({'lot'})
39,0.125,frozenset({'research'})
40,0.15,frozenset({'s20'})
41,0.125,frozenset({'fe'})
42,0.2,frozenset({'pros'})
43,0.15,frozenset({'please'})
44,0.125,frozenset({'way'})
45,0.125,frozenset({'hz'})
46,0.2,frozenset({'sound'})
47,0.25,frozenset({'screen'})
48,0.2,frozenset({'cons'})
49,0.2,frozenset({'problem'})
50,0.15,frozenset({'ui'})
51,0.275,frozenset({'fingerprint'})
52,0.125,frozenset({'oneui'})
53,0.175,frozenset({'review'})
54,0.125,frozenset({'months'})
55,0.15,frozenset({'people'})
56,0.125,frozenset({'security'})
57,0.125,frozenset({'apps'})
58,0.125,frozenset({'games'})
59,0.15,frozenset({'performance'})
60,0.225,frozenset({'device'})
61,0.15,frozenset({'point'})
62,0.15,frozenset({'media'})
63,0.25,frozenset({'life'})
64,0.125,frozenset({'use'})
65,0.35,frozenset({'time'})
66,0.175,frozenset({'sensor'})
67,0.125,frozenset({'times'})
68,0.125,frozenset({'value'})
69,0.125,frozenset({'audio'})
70,0.125,frozenset({'month'})
71,0.125,frozenset({'app'})
72,0.125,frozenset({'everything'})
73,0.15,frozenset({'didnt'})
74,0.15,frozenset({'amazon'})
75,0.15,frozenset({'brand'})
76,0.175,frozenset({'customer'})
77,0.125,frozenset({'service'})
78,0.125,frozenset({'call'})
79,0.125,frozenset({'replacement'})
80,0.125,frozenset({'one'})
81,0.125,frozenset({'face'})
82,0.15,"frozenset({'display', 'days'})"
83,0.175,"frozenset({'camera', 'days'})"
84,0.125,"frozenset({'days', 'night'})"
85,0.15,"frozenset({'mode', 'days'})"
86,0.2,"frozenset({'phone', 'days'})"
87,0.125,"frozenset({'glass', 'days'})"
88,0.125,"frozenset({'days', 'processor'})"
89,0.175,"frozenset({'days', 'bands'})"
90,0.125,"frozenset({'software', 'days'})"
91,0.125,"frozenset({'days', 'updates'})"
92,0.15,"frozenset({'days', 'battery'})"
93,0.125,"frozenset({'phones', 'days'})"
94,0.15,"frozenset({'samsung', 'days'})"
95,0.15,"frozenset({'days', 'i'})"
96,0.125,"frozenset({'days', 'life'})"
97,0.15,"frozenset({'days', 'time'})"
98,0.15,"frozenset({'rate', 'display'})"
99,0.2,"frozenset({'quality', 'display'})"
100,0.2,"frozenset({'display', 'front'})"
101,0.15,"frozenset({'speakers', 'display'})"
102,0.375,"frozenset({'display', 'camera'})"
103,0.225,"frozenset({'display', 'features'})"
104,0.125,"frozenset({'display', 'night'})"
105,0.15,"frozenset({'mode', 'display'})"
106,0.225,"frozenset({'charger', 'display'})"
107,0.125,"frozenset({'display', 'wireless'})"
108,0.275,"frozenset({'display', 'phone'})"
109,0.2,"frozenset({'glass', 'display'})"
110,0.15,"frozenset({'display', 'processor'})"
111,0.125,"frozenset({'display', 'support'})"
112,0.2,"frozenset({'display', 'bands'})"
113,0.175,"frozenset({'display', 'software'})"
114,0.175,"frozenset({'display', 'updates'})"
115,0.15,"frozenset({'display', 'water'})"
116,0.4,"frozenset({'display', 'battery'})"
117,0.225,"frozenset({'display', 'phones'})"
118,0.25,"frozenset({'samsung', 'display'})"
119,0.2,"frozenset({'price', 'display'})"
120,0.125,"frozenset({'display', 'product'})"
121,0.15,"frozenset({'display', 'day'})"
122,0.275,"frozenset({'display', 'i'})"
123,0.125,"frozenset({'display', 'usage'})"
124,0.125,"frozenset({'display', 'hours'})"
125,0.15,"frozenset({'display', 'reader'})"
126,0.225,"frozenset({'lot', 'display'})"
127,0.175,"frozenset({'display', 'pros'})"
128,0.125,"frozenset({'display', 'way'})"
129,0.2,"frozenset({'screen', 'display'})"
130,0.175,"frozenset({'display', 'cons'})"
131,0.15,"frozenset({'problem', 'display'})"
132,0.15,"frozenset({'display', 'ui'})"
133,0.275,"frozenset({'display', 'fingerprint'})"
134,0.125,"frozenset({'display', 'oneui'})"
135,0.15,"frozenset({'display', 'review'})"
136,0.125,"frozenset({'display', 'apps'})"
137,0.125,"frozenset({'games', 'display'})"
138,0.225,"frozenset({'display', 'life'})"
139,0.175,"frozenset({'display', 'time'})"
140,0.15,"frozenset({'display', 'sensor'})"
141,0.125,"frozenset({'rate', 'quality'})"
142,0.15,"frozenset({'rate', 'front'})"
143,0.2,"frozenset({'rate', 'camera'})"
144,0.15,"frozenset({'rate', 'features'})"
145,0.15,"frozenset({'rate', 'charger'})"
146,0.225,"frozenset({'rate', 'phone'})"
147,0.2,"frozenset({'rate', 'glass'})"
148,0.15,"frozenset({'rate', 'processor'})"
149,0.15,"frozenset({'rate', 'bands'})"
150,0.175,"frozenset({'rate', 'software'})"
151,0.15,"frozenset({'rate', 'updates'})"
152,0.225,"frozenset({'rate', 'battery'})"
153,0.125,"frozenset({'rate', 'mah'})"
154,0.15,"frozenset({'rate', 'range'})"
155,0.175,"frozenset({'rate', 'phones'})"
156,0.15,"frozenset({'rate', 'price'})"
157,0.175,"frozenset({'rate', 'i'})"
158,0.175,"frozenset({'rate', 'usage'})"
159,0.175,"frozenset({'rate', 'hours'})"
160,0.125,"frozenset({'screen', 'rate'})"
161,0.15,"frozenset({'quality', 'front'})"
162,0.2,"frozenset({'quality', 'camera'})"
163,0.125,"frozenset({'quality', 'features'})"
164,0.15,"frozenset({'quality', 'charger'})"
165,0.2,"frozenset({'quality', 'phone'})"
166,0.15,"frozenset({'quality', 'glass'})"
167,0.125,"frozenset({'quality', 'bands'})"
168,0.15,"frozenset({'quality', 'software'})"
169,0.125,"frozenset({'quality', 'water'})"
170,0.225,"frozenset({'quality', 'battery'})"
171,0.125,"frozenset({'quality', 'mah'})"
172,0.175,"frozenset({'quality', 'phones'})"
173,0.175,"frozenset({'samsung', 'quality'})"
174,0.125,"frozenset({'price', 'quality'})"
175,0.125,"frozenset({'quality', 'product'})"
176,0.15,"frozenset({'quality', 'i'})"
177,0.125,"frozenset({'quality', 'pros'})"
178,0.125,"frozenset({'quality', 'cons'})"
179,0.125,"frozenset({'quality', 'fingerprint'})"
180,0.125,"frozenset({'quality', 'time'})"
181,0.2,"frozenset({'camera', 'front'})"
182,0.15,"frozenset({'features', 'front'})"
183,0.15,"frozenset({'phone', 'front'})"
184,0.2,"frozenset({'glass', 'front'})"
185,0.15,"frozenset({'bands', 'front'})"
186,0.15,"frozenset({'software', 'front'})"
187,0.15,"frozenset({'updates', 'front'})"
188,0.2,"frozenset({'battery', 'front'})"
189,0.15,"frozenset({'phones', 'front'})"
190,0.15,"frozenset({'price', 'front'})"
191,0.15,"frozenset({'front', 'fingerprint'})"
192,0.15,"frozenset({'speakers', 'camera'})"
193,0.15,"frozenset({'speakers', 'features'})"
194,0.15,"frozenset({'speakers', 'charger'})"
195,0.15,"frozenset({'speakers', 'phone'})"
196,0.15,"frozenset({'speakers', 'battery'})"
197,0.15,"frozenset({'speakers', 'samsung'})"
198,0.2,"frozenset({'camera', 'features'})"
199,0.125,"frozenset({'camera', 'night'})"
200,0.15,"frozenset({'mode', 'camera'})"
201,0.275,"frozenset({'charger', 'camera'})"
202,0.15,"frozenset({'camera', 'wireless'})"
203,0.425,"frozenset({'camera', 'phone'})"
204,0.275,"frozenset({'glass', 'camera'})"
205,0.125,"frozenset({'camera', 'snapdragon'})"
206,0.225,"frozenset({'camera', 'processor'})"
207,0.175,"frozenset({'camera', 'support'})"
208,0.225,"frozenset({'camera', 'bands'})"
209,0.2,"frozenset({'camera', 'software'})"
210,0.2,"frozenset({'camera', 'updates'})"
211,0.175,"frozenset({'camera', 'water'})"
